title,artist,album,dance,genre,mood,timbre,instrumental,loudness,bpm
"[""Don't Mess With My Baby""]","[""Howlin' Wolf""]",['The Chess Box'],"{'danceable': 0.0952385887504, 'not_danceable': 0.904761433601}","{'cla': 0.0821678638458, 'dan': 0.00354187795892, 'hip': 0.0170634444803, 'jaz': 0.230349466205, 'pop': 0.0831645429134, 'rhy': 0.573958933353, 'roc': 0.00497118523344, 'spe': 0.00478266738355}","{'Cluster1': 0.0894787311554, 'Cluster2': 0.336355090141, 'Cluster3': 0.118479266763, 'Cluster4': 0.386989176273, 'Cluster5': 0.068697758019}","{'bright': 0.917947411537, 'dark': 0.0820525884628}","{'instrumental': 0.20636510849, 'voice': 0.79363489151}",0.0513005703688,81.7900848389
['From the Ashes'],['Heavydeath'],['Dark Phoenix Rising'],"{'danceable': 1.09461427655e-06, 'not_danceable': 0.999998927116}","{'cla': 0.00617534061894, 'dan': 0.0105713205412, 'hip': 0.00465159863234, 'jaz': 0.00411872984841, 'pop': 0.0120259616524, 'rhy': 0.00284210080281, 'roc': 0.948487997055, 'spe': 0.0111269336194}","{'Cluster1': 0.069833420217, 'Cluster2': 0.0420660041273, 'Cluster3': 0.240050211549, 'Cluster4': 0.0411258116364, 'Cluster5': 0.606924533844}","{'bright': 0.00112457456999, 'dark': 0.998875439167}","{'instrumental': 0.0683501288295, 'voice': 0.93164986372}",0.967986941338,125.117378235
"['How Come, How Long (Laws & Craigie Remix)']",['Babyface'],"['How Come, How Long']","{'danceable': 0.994145452976, 'not_danceable': 0.00585456844419}","{'cla': 0.00045224634232, 'dan': 0.0347079262137, 'hip': 0.0300658028573, 'jaz': 0.00163054349832, 'pop': 0.0724089816213, 'rhy': 0.8586576581, 'roc': 0.00147119292524, 'spe': 0.000605637324043}","{'Cluster1': 0.0731014609337, 'Cluster2': 0.0628976672888, 'Cluster3': 0.205177232623, 'Cluster4': 0.0431999489665, 'Cluster5': 0.61562371254}","{'bright': 0.569491028786, 'dark': 0.430509001017}","{'instrumental': 0.97650039196, 'voice': 0.0234996099025}",0.879806935787,162.022766113
['Take It Slow'],['Ras G'],['Down To Earth Vol. 2 (The Standard Bap Edition)'],"{'danceable': 0.999999880791, 'not_danceable': 1.00000008274e-07}","{'cla': 0.000187491561519, 'dan': 0.000442509073764, 'hip': 0.99738407135, 'jaz': 0.000137466515298, 'pop': 0.000218690605834, 'rhy': 0.00153092306573, 'roc': 8.35807659314e-05, 'spe': 1.52693792188e-05}","{'Cluster1': 0.0520748384297, 'Cluster2': 0.0287687461823, 'Cluster3': 0.087348267436, 'Cluster4': 0.0290216319263, 'Cluster5': 0.802786529064}","{'bright': 0.0565541125834, 'dark': 0.94344586134}","{'instrumental': 0.987729728222, 'voice': 0.0122702419758}",0.841836452484,88.8051834106
"['Disremembrance (full orchestral 12"" mix)']",['Dannii Minogue'],['Girl (remix disc)'],"{'danceable': 0.99740165472, 'not_danceable': 0.00259837275371}","{'cla': 0.00670426432043, 'dan': 0.430823504925, 'hip': 0.027107918635, 'jaz': 0.00916162971407, 'pop': 0.249663993716, 'rhy': 0.165958747268, 'roc': 0.107728101313, 'spe': 0.00285184453242}","{'Cluster1': 0.0754879564047, 'Cluster2': 0.0487840361893, 'Cluster3': 0.270338743925, 'Cluster4': 0.0391979068518, 'Cluster5': 0.566191375256}","{'bright': 0.971792697906, 'dark': 0.028207289055}","{'instrumental': 0.541067242622, 'voice': 0.45893278718}",0.718236982822,130.8931427
['REEEWIND! -Tomita Lab. Remix-'],['m-flo'],['ASTROMANTIC CHARM SCHOOL'],"{'danceable': 0.231199741364, 'not_danceable': 0.768800258636}","{'cla': 0.0110267791897, 'dan': 0.0245786253363, 'hip': 0.0131522463635, 'jaz': 0.0245033465326, 'pop': 0.575083315372, 'rhy': 0.213951721787, 'roc': 0.13260127604, 'spe': 0.00510266842321}","{'Cluster1': 0.113794729114, 'Cluster2': 0.207426324487, 'Cluster3': 0.269700556993, 'Cluster4': 0.140799477696, 'Cluster5': 0.268278896809}","{'bright': 0.969880223274, 'dark': 0.0301197990775}","{'instrumental': 0.890912353992, 'voice': 0.109087653458}",0.835438251495,105.056640625
['The Bridal Jig / The Handsome Young Maidens / The Lancers Jig (jigs)'],['John Williams'],['Steam'],"{'danceable': 0.938662588596, 'not_danceable': 0.061337441206}","{'cla': 0.0320748090744, 'dan': 0.00782022532076, 'hip': 0.0148918004707, 'jaz': 0.210345998406, 'pop': 0.371678888798, 'rhy': 0.273215681314, 'roc': 0.0822287127376, 'spe': 0.00774391135201}","{'Cluster1': 0.0535133741796, 'Cluster2': 0.605367720127, 'Cluster3': 0.0614031404257, 'Cluster4': 0.139391288161, 'Cluster5': 0.140324503183}","{'bright': 0.999997615814, 'dark': 2.38245297624e-06}","{'instrumental': 0.996527969837, 'voice': 0.00347201176919}",0.83368575573,133.830856323
['Mélo-Trirème'],['Les Tambours du Bronx'],['[Grandmix]'],"{'danceable': 0.622396349907, 'not_danceable': 0.377603650093}","{'cla': 0.0836347639561, 'dan': 0.0285056363791, 'hip': 0.079789839685, 'jaz': 0.044262047857, 'pop': 0.230334028602, 'rhy': 0.0598679557443, 'roc': 0.462200582027, 'spe': 0.0114051448181}","{'Cluster1': 0.0711795762181, 'Cluster2': 0.0521299540997, 'Cluster3': 0.219993636012, 'Cluster4': 0.0411720536649, 'Cluster5': 0.615524768829}","{'bright': 0.135365754366, 'dark': 0.864634275436}","{'instrumental': 0.870737433434, 'voice': 0.129262551665}",0.73857742548,148.827270508
['Intro'],['Limp Bizkit'],['Significant Other'],"{'danceable': 0.742771208286, 'not_danceable': 0.257228791714}","{'cla': 0.0426186993718, 'dan': 0.0246449504048, 'hip': 0.333644121885, 'jaz': 0.187979191542, 'pop': 0.04690027982, 'rhy': 0.316616714001, 'roc': 0.0273600704968, 'spe': 0.0202359817922}","{'Cluster1': 0.0831842422485, 'Cluster2': 0.0537864863873, 'Cluster3': 0.211611703038, 'Cluster4': 0.0366136543453, 'Cluster5': 0.614803910255}","{'bright': 0.462893188, 'dark': 0.537106812}","{'instrumental': 0.545685112476, 'voice': 0.454314857721}",0.568497776985,96.1129837036
['Vertigo (Hardgroove mix)'],['Ben Sims'],"[""The Last DJ'z on Earth""]","{'danceable': 0.99997484684, 'not_danceable': 2.51652400038e-05}","{'cla': 0.000854187528603, 'dan': 0.890292525291, 'hip': 0.0233730468899, 'jaz': 0.00111187447328, 'pop': 0.00725718028843, 'rhy': 0.0031008287333, 'roc': 0.0719751641154, 'spe': 0.00203519687057}","{'Cluster1': 0.187962964177, 'Cluster2': 0.0752057209611, 'Cluster3': 0.147531017661, 'Cluster4': 0.0671046599746, 'Cluster5': 0.522195637226}","{'bright': 0.180021643639, 'dark': 0.819978356361}","{'instrumental': 0.415969461203, 'voice': 0.584030508995}",0.973220765591,137.200576782
